avg_speed,max_speed,avg_acceleration,max_acceleration,avg_jerk,lane_changes,collisions,travel_time,travel_distance,safety_violations,center_lane_time,lane_distribution,efficiency_score,safety_score,comfort_score,overall_score,episode,total_reward
16.670258966611023,16.825121000000003,0.28347649415692827,168.25121000000001,5.669529883138566,0,0,60.0,996.8660000000048,0,0.0,{3: 1.0},4.7015778477680845,10.0,4.716523505843071,6.823935840275848,0,-138.10000000000002
16.680841928213695,18.868863000000005,0.35171495826377314,188.68863000000005,6.450371619365611,0,0,60.0,997.295545200005,0,0.0,{3: 1.0},4.704753053769486,10.0,4.6482850417362265,6.81155822985504,1,-138.10000000000002
33.00504474172184,33.33,1.1477984105960262,284.46756,20.170037086092712,1,0,30.299999999999997,993.9076755999977,0,0.0,{0: 1.0},9.55100367288384,10.0,3.8522015894039736,8.59084178703433,2,-143.1
33.15668399999999,33.156684,1.1015509634551495,331.56683999999996,22.031019269102988,0,0,30.2,994.7005200000062,0,0.0,{0: 1.0},9.796999999999999,10.0,3.89844903654485,8.698489807308968,3,-144.0
31.113554999999998,31.113554999999998,0.9692696261682242,311.13554999999997,19.385392523364484,0,0,32.199999999999996,995.6337599999918,0,0.0,{0: 1.0},9.174000000000001,10.0,4.030730373831776,8.475746074766356,4,-143.6
16.670000000000005,16.67,0.27829716193656096,166.70000000000002,5.565943238731219,0,0,60.0,996.8660000000048,0,0.0,{3: 1.0},4.701500150015003,10.0,4.72170283806344,6.824940627618689,5,-138.10000000000002
30.103626949904246,31.160216999999996,1.2342674242430625,259.71522,22.620810640697698,1,0,33.3,998.3674207534204,314,0.015060240963855422,"{0: 0.9849397590361446, 1: 0.015060240963855422}",8.665491284099685,5.0,3.765732575756937,6.219343028791261,6,-142.5
16.680521886477468,18.830522000000006,0.3504347913188649,188.30522000000005,6.437569949916528,0,0,60.0,997.280208800005,0,0.0,{3: 1.0},4.704657031646406,10.0,4.649565208681135,6.8117758543947895,7,-138.10000000000002
31.530179999999998,31.530179999999998,0.9946429022082017,315.30179999999996,19.892858044164036,0,0,31.799999999999997,996.3536879999942,0,0.0,{0: 1.0},9.300999999999998,10.0,4.005357097791798,8.52147141955836,8,-143.70000000000002
16.67648026043406,18.315419000000002,0.33323602671118535,183.15419,6.265582303839733,0,0,60.0,997.089625700005,0,0.0,{3: 1.0},4.703444422572477,10.0,4.666763973288814,6.814730563686753,9,-138.10000000000002
30.036003810240953,30.213644999999996,0.910049548192771,251.8257,15.6829186746988,1,0,33.3,994.6770695000013,0,0.0,{0: 1.0},8.645202313303619,10.0,4.08995045180723,8.276071015682893,10,-142.5
33.00882575496687,33.33,1.1781540397350991,289.05126,20.473593377483443,1,0,30.299999999999997,993.9760251999977,0,0.0,{0: 1.0},9.552138090299092,10.0,3.8218459602649,8.585224428172618,11,-143.1
33.32999999999999,33.33,1.1109999999999998,333.29999999999995,22.219999999999995,0,0,30.099999999999998,996.5669999999976,0,0.0,{0: 1.0},9.849499999999999,10.0,3.8889999999999993,8.7176,12,-144.0
31.586841,31.586840999999996,0.9995835759493669,315.8684099999999,19.991671518987335,0,0,31.7,994.9854914999947,0,0.0,{0: 1.0},9.3185,10.0,4.000416424050632,8.527483284810128,13,-143.70000000000002
33.18668100000001,33.186681,1.102547541528239,331.86681,22.050950830564783,0,0,30.2,995.600429999997,0,0.0,{0: 1.0},9.806000000000003,10.0,3.8974524584717614,8.701890491694353,14,-144.0
14.529572000000002,14.529572000000002,0.21118563953488376,145.29572000000002,4.223712790697674,0,0,68.9,998.1815964000086,0,0.0,{3: 1.0},4.014807530753076,10.0,4.788814360465116,6.563685884394254,15,-136.30000000000004
33.00443762913906,33.33,1.1417272847682116,283.55082,20.10932582781457,1,0,30.299999999999997,993.8985081999977,0,0.0,{0: 1.0},9.550821520893809,10.0,3.858272715231788,8.591983151403882,16,-143.1
27.091056,27.091056,270.91056,270.91056,2709.1055999999994,1,1,0.1,0.0,1,0.0,{0: 1.0},7.927629612961295,0.0,0.0,3.171051845184518,17,-150.0
32.273455275080906,32.520081,1.0524298058252426,271.04946,18.385078317152107,1,0,31.0,994.5392734000031,0,0.0,{0: 1.0},9.328004883012575,10.0,3.947570194174757,8.520715992039982,18,-143.0
31.830149999999996,31.830149999999996,1.013699044585987,318.3014999999999,20.273980891719738,0,0,31.5,996.2836949999944,0,0.0,{0: 1.0},9.392499999999998,10.0,3.9863009554140127,8.554260191082802,19,-143.8
31.180716484375,31.380194999999997,0.9806310937499998,261.5487,17.000121874999998,1,0,32.1,995.1674405000057,0,0.0,{0: 1.0},8.994650460358537,10.0,4.0193689062499995,8.401733965393415,20,-142.70000000000002
16.408281,16.408281000000002,0.2694299014778325,164.08281000000002,5.3885980295566505,0,0,61.0,997.6234848000089,0,0.0,{3: 1.0},4.617976597659767,10.0,4.730570098522168,6.79330465876834,21,-137.90000000000003
28.2370473220339,28.383827999999998,0.8018030508474576,236.57448000000002,13.829066666666671,1,0,35.5,997.2257303999943,0,0.0,{0: 1.0},8.094461392749446,10.0,4.198196949152543,8.077423946930288,22,-142.10000000000002
16.228245000000005,16.228245,0.26344553571428575,162.28245,5.268910714285714,0,0,61.699999999999996,998.0370674999912,0,0.0,{3: 1.0},4.5604603960396055,10.0,4.736554464285714,6.771495051272985,23,-137.70000000000002
15.773154,15.773154000000002,0.24918094786729858,157.73154,4.983618957345971,0,0,63.4,996.8633327999887,0,0.0,{3: 1.0},4.415419441944194,10.0,4.750819052132702,6.716331587204218,24,-137.40000000000003
